date,total_ridership,service_frequency,is_holiday,ridership_per_service
2024-10-03,1364476,13,0,104959.69230769231
2024-10-04,1387992,13,0,106768.61538461539
2024-10-05,992669,13,0,76359.15384615384
2024-10-06,922105,13,0,70931.15384615384
2024-10-07,1316940,13,0,101303.07692307692
2024-10-08,1354280,13,0,104175.38461538461
2024-10-09,1358699,13,0,104515.30769230769
2024-10-10,1354128,13,0,104163.69230769231
2024-10-11,1375511,13,0,105808.53846153847
2024-10-12,961849,13,0,73988.38461538461
2024-10-13,881060,13,0,67773.84615384616
2024-10-14,1309936,13,0,100764.30769230769
2024-10-15,1340097,13,0,103084.38461538461
2024-10-16,1381771,13,0,106290.07692307692
2024-10-17,1367105,13,0,105161.92307692308
2024-10-18,1370553,13,0,105427.15384615384
2024-10-19,929095,13,0,71468.84615384616
2024-10-20,848602,13,0,65277.07692307692
2024-10-21,1304733,13,0,100364.07692307692
2024-10-22,1340988,13,0,103152.92307692308
2024-10-23,1354280,13,0,104175.38461538461
2024-10-24,1348256,13,0,103712.0
2024-10-25,1359611,13,0,104585.46153846153
2024-10-26,1031709,13,0,79362.23076923077
2024-10-27,854247,13,0,65711.30769230769
2024-10-28,1277342,13,0,98257.07692307692
2024-10-29,1338335,13,0,102948.84615384616
2024-10-30,1354313,13,0,104177.92307692308
